fmi,estado,enlace
280-79690,encontrado,https://www.activosporcolombia.com/es/inmueble/25279/cl-23-kr-17-18
280-35672,encontrado,https://www.activosporcolombia.com/es/inmueble/17119/casa-en-gestion-armenia-quindio
280-79691,encontrado,https://www.activosporcolombia.com/es/inmueble/25275/kr-18-22-49-57
284-6609,no_publicado,
290-108545,encontrado,https://www.activosporcolombia.com/es/inmueble/18605/mz-12-cs-5-br-perla-del-sur-cuba
290-117121,no_publicado,
290-126900,no_publicado,
290-126892,no_publicado,
290-116360,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/492/casa-en-gestion-pereira-risaralda
290-116361,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/492/casa-en-gestion-pereira-risaralda
290-116406,encontrado,https://www.activosporcolombia.com/es/unidad-inmobiliaria/492/casa-en-gestion-pereira-risaralda
290-140986,no_publicado,
290-120642,encontrado,https://www.activosporcolombia.com/es/inmueble/14103/local-comercial-en-venta-la-virginia
290-13853,no_publicado,
290-136701,encontrado,https://www.activosporcolombia.com/es/inmueble/5097/lt-sec-la-cristalina-vda-alcatracia
290-146278,no_publicado,
290-152025,no_publicado,
290-150159,no_publicado,
